positioning_time,quality,direction,Gps.speed,Gps.flag,Speed.speed,pulse,Speed.flag,Back,Brake+Back,COG,No fix,DR,3D,3D+DR,lat,lng,seq_no,status,satellite_num,pdop,altitude,ACC OFF,ACC ON
20190802T204508+0900,1,277,14.4,1,13.9,10,0,,,1,,,-50,,25.043721,121.522803,,2,6,2.9,48.4,,
,,,14.4,,16.3,10,0,,,1,,,,,,,,,,,,,
20190802T204509+0900,1,278,18.7,1,18.2,13,0,,,1,,,-50,,25.043726,121.522758,,2,6,2.9,48.5,,
,,,18.7,,18.2,13,0,,,1,,,,,,,,,,,,,
20190802T204510+0900,1,279,23.1,1,21.9,16,0,,,1,,,-50,,25.043734,121.522703,,2,5,3.1,48.9,,
,,,23.1,,22.8,16,0,,,1,,,,,,,,,,,,,
20190802T204511+0900,1,280,26,1,23.8,18,0,,,1,,,-50,,25.043746,121.522641,,2,5,4.4,49.4,,
,,,26,,23.8,18,0,,,1,,,,,,,,,,,,,
20190802T204512+0900,1,280,27.4,1,24.8,19,0,,,0,,,-50,,25.04376,121.522576,,2,5,3.1,49.7,,
,,,27.4,,26.2,19,0,,,0,,,,,,,,,,,,,
20190802T204513+0900,1,280,30.3,1,27.9,21,0,,,0,,,-50,,25.043774,121.522505,,2,5,3.1,50,,
,,,30.3,,27.9,21,0,,,0,,,,,,,,,,,,,
20190802T204514+0900,1,281,33.2,1,30.4,23,0,,,1,,,-50,,25.043784,121.522464,,2,5,3.1,50,,
,,,33.2,,31.6,23,0,,,1,,,,,,,,,,,,,
20190802T204515+0900,1,284,36.1,1,34,25,0,,,3,,,-50,,25.043822,121.52233,,2,5,4.4,50.7,,
,,,36.1,,34,25,1,,,3,,,,,,,,,,,,,
20190802T204516+0900,1,283,36.1,1,33.6,25,1,,,1,,,-50,,25.043846,121.522234,,2,5,3.1,51,,
,,,36.1,,33.6,25,1,,,1,,,,,,,,,,,,,
20190802T204517+0900,1,283,33.2,1,32.2,23,1,,,0,,,-50,,25.043857,121.522188,,2,5,3,51.2,,
,,,33.2,,30.3,23,1,,,0,,,,,,,,,,,,,
20190802T204518+0900,1,283,28.8,1,28.7,20,1,,,0,,,-50,,25.043882,121.522104,,2,6,2.9,51.5,,
,,,28.8,,23.7,20,1,,,0,,,,,,,,,,,,,
